,win1_2_mean,win2_2_mean,win1_3_mean,win2_3_mean,win1_4_mean,win2_4_mean,win1_5_mean,win2_5_mean,win1_6_mean,win2_6_mean
178,True,False,True,False,False,False,False,False,False,False
179,True,False,True,False,True,False,False,False,False,False
180,True,False,True,False,True,False,True,False,False,False
181,False,True,False,False,False,False,False,False,False,False
182,True,False,False,False,False,False,False,False,False,False
183,True,False,True,False,False,False,False,False,False,False
184,True,False,True,False,True,False,False,False,False,False
185,True,False,True,False,True,False,True,False,False,False
186,True,False,True,False,True,False,True,False,True,False
187,False,True,False,False,False,False,False,False,False,False
188,True,False,False,False,False,False,False,False,False,False
189,True,False,True,False,False,False,False,False,False,False
190,False,True,False,False,False,False,False,False,False,False
191,False,True,False,True,False,False,False,False,False,False
192,True,False,False,False,False,False,False,False,False,False
193,False,True,False,False,False,False,False,False,False,False
194,False,True,False,True,False,False,False,False,False,False
195,True,False,False,False,False,False,False,False,False,False
196,True,False,True,False,False,False,False,False,False,False
197,True,False,True,False,True,False,False,False,False,False
198,True,False,True,False,True,False,True,False,False,False
199,False,True,False,False,False,False,False,False,False,False
200,True,False,False,False,False,False,False,False,False,False
201,False,True,False,False,False,False,False,False,False,False
202,True,False,False,False,False,False,False,False,False,False
203,True,False,True,False,False,False,False,False,False,False
204,False,True,False,False,False,False,False,False,False,False
205,False,True,False,True,False,False,False,False,False,False
206,False,True,False,True,False,True,False,False,False,False
207,True,False,False,False,False,False,False,False,False,False
208,True,False,True,False,False,False,False,False,False,False
209,True,False,True,False,True,False,False,False,False,False
210,False,True,False,False,False,False,False,False,False,False
211,True,False,False,False,False,False,False,False,False,False
212,True,False,True,False,False,False,False,False,False,False
213,False,True,False,False,False,False,False,False,False,False
214,False,True,False,True,False,False,False,False,False,False
215,False,True,False,True,False,True,False,False,False,False
216,False,True,False,True,False,True,False,True,False,False
217,True,False,False,False,False,False,False,False,False,False
218,False,True,False,False,False,False,False,False,False,False
219,False,True,False,True,False,False,False,False,False,False
220,True,False,False,False,False,False,False,False,False,False
221,False,True,False,False,False,False,False,False,False,False
222,False,True,False,True,False,False,False,False,False,False
223,False,True,False,True,False,True,False,False,False,False
224,True,False,False,False,False,False,False,False,False,False
225,False,True,False,False,False,False,False,False,False,False
226,False,True,False,True,False,False,False,False,False,False
227,True,False,False,False,False,False,False,False,False,False
228,True,False,True,False,False,False,False,False,False,False
229,True,False,True,False,True,False,False,False,False,False
230,False,True,False,False,False,False,False,False,False,False
231,False,True,False,True,False,False,False,False,False,False
232,True,False,False,False,False,False,False,False,False,False
233,False,True,False,False,False,False,False,False,False,False
234,True,False,False,False,False,False,False,False,False,False
235,True,False,True,False,False,False,False,False,False,False
236,False,True,False,False,False,False,False,False,False,False
237,False,True,False,True,False,False,False,False,False,False
238,True,False,False,False,False,False,False,False,False,False
239,False,True,False,False,False,False,False,False,False,False
240,False,True,False,True,False,False,False,False,False,False
241,True,False,False,False,False,False,False,False,False,False
242,False,True,False,False,False,False,False,False,False,False
243,False,True,False,True,False,False,False,False,False,False
244,False,True,False,True,False,True,False,False,False,False
245,True,False,False,False,False,False,False,False,False,False
246,True,False,True,False,False,False,False,False,False,False
247,True,False,True,False,True,False,False,False,False,False
248,True,False,True,False,True,False,True,False,False,False
249,False,True,False,False,False,False,False,False,False,False
250,True,False,False,False,False,False,False,False,False,False
251,False,True,False,False,False,False,False,False,False,False
252,False,True,False,True,False,False,False,False,False,False
253,True,False,False,False,False,False,False,False,False,False
254,True,False,True,False,False,False,False,False,False,False
255,False,True,False,False,False,False,False,False,False,False
256,False,True,False,True,False,False,False,False,False,False
257,False,True,False,True,False,True,False,False,False,False
258,True,False,False,False,False,False,False,False,False,False
259,True,False,True,False,False,False,False,False,False,False
260,True,False,True,False,True,False,False,False,False,False
261,True,False,True,False,True,False,True,False,False,False
262,True,False,True,False,True,False,True,False,True,False
263,True,False,True,False,True,False,True,False,True,False
264,False,True,False,False,False,False,False,False,False,False
265,True,False,False,False,False,False,False,False,False,False
266,False,True,False,False,False,False,False,False,False,False
267,True,False,False,False,False,False,False,False,False,False
268,True,False,True,False,False,False,False,False,False,False
269,True,False,True,False,True,False,False,False,False,False
270,False,True,False,False,False,False,False,False,False,False
271,True,False,False,False,False,False,False,False,False,False
272,True,False,True,False,False,False,False,False,False,False
273,False,True,False,False,False,False,False,False,False,False
274,True,False,False,False,False,False,False,False,False,False
275,False,True,False,False,False,False,False,False,False,False
276,False,True,False,True,False,False,False,False,False,False
277,False,True,False,True,False,True,False,False,False,False
278,True,False,False,False,False,False,False,False,False,False
279,True,False,True,False,False,False,False,False,False,False
280,False,True,False,False,False,False,False,False,False,False
281,True,False,False,False,False,False,False,False,False,False
282,False,True,False,False,False,False,False,False,False,False
283,False,True,False,True,False,False,False,False,False,False
284,True,False,False,False,False,False,False,False,False,False
285,True,False,True,False,False,False,False,False,False,False
286,False,True,False,False,False,False,False,False,False,False
287,True,False,False,False,False,False,False,False,False,False
288,False,True,False,False,False,False,False,False,False,False
289,True,False,False,False,False,False,False,False,False,False
290,True,False,True,False,False,False,False,False,False,False
291,True,False,True,False,True,False,False,False,False,False
292,False,True,False,False,False,False,False,False,False,False
293,True,False,False,False,False,False,False,False,False,False
294,True,False,True,False,False,False,False,False,False,False
295,False,True,False,False,False,False,False,False,False,False
296,False,True,False,True,False,False,False,False,False,False
297,True,False,False,False,False,False,False,False,False,False
298,True,False,True,False,False,False,False,False,False,False
299,True,False,True,False,True,False,False,False,False,False
